objectid,fire_name,fire_type,landowner,fuel_model
294245,JOHN F KENNEDY DR  MOVA,WF,Private,000
294249,VIKING,WF,Private,000
294251,C-127 / 128/ Cancelled,RX,USFS,000
294252,RATTLESNAKE HOLLOW,WF,Private,Hardwood Litter
294253,C-124,RX,USFS,000
294254,LITTLE LEAGUE CREEK,WF,Private,000
294255,STEELY,WF,Tribal,000
294257,GULLY,WF,Private,000
294258,CUPPY,WF,Tribal,000
294261,S STATE ST  SANJ,WF,Private,000
294265,HELENDALE,WF,Private,000
294266,VINTAGE,WF,USFWS,000
294268,PINTAIL,WF,USFWS,000
294269,ALESSANDRO BL / INDIAN ST,WF,Private,000
294270,HARLEY KNOX BL / INDIAN AV,WF,Private,000
294271,INDIAN AV /W PERRY ST,WF,Private,000
294274,LAC-018881,WF,Private,000
294275,BRENNAN AV /W RAMONA EXPRESSWAY,WF,Private,000
294279,W MORGAN ST /N PERRIS BL,WF,Private,000
294280, St. John ,WF,USFS,000
294284,N PERRIS BL /E ORANGE AV,WF,Private,000
294289,N PALM AV / ESTRELLA ST,WF,Private,000
294290,INDIO BL  INDO,WF,Private,000
294291,HY 111  / GRANT ST,WF,Private,000
294293,5th and carey,WF,Private,000
294294,BIG CAVE,WF,Tribal,000
294296,BOAR,WF,Tribal,000
294297,ROSS,WF,Private,000
294300,DOG,WF,Private,000
294301,VAN BUREN BL / JURUPA RD,WF,Private,000
294302,DRY CREEK,WF,BIA,000
294303,SUNKIST,WF,Private,000
294305,FY 23 Okefenokee RX Burning,RX,USFWS,000
294306,Bonny Hall 1-5,RX,USFWS,000
294308,Combahee 1/2/4/5/7,RX,USFWS,000
294310,51RD#1,WF,USFS,000
294311,Jehossee Island 2/8,RX,USFWS,000
294312,C-109,RX,USFS,000
294314,ROCKY,WF,Private,000
294315,LEIGH ST  JRPV,WF,Private,000
294316,KULLIHOMA I SOUTH,RX,BIA,000
294317,DAUGHTERY,WF,Tribal,000
294318,HILLTOP,WF,Private,000
294319,MUD BOG,WF,State,000
294321,FD0700001,WF,Private,000
294323,ROCK CRUSHER,WF,Private,000
294329,Cass 0288,WF,Private,Medium Logging Slash
294331,SAND RANCH RX,RX,BLM,000
294337,Anderson 0290,WF,Private,Timber (Litter and Understory)
294339,WILLARD T,WF,Private,000
294340,PILGRIM,WF,Private,000
294341,SW 159TH CT,WF,Private,Tall Grass (2.5 feet)
294342,WELDING POST,WF,Private,000
294344,DCNF C 28 RX,RX,USFS,000
294345,I-90 INC 013,WF,Private,000
294347,Lyons RX,RX,Private,000
294348,Cass 0293,WF,Private,Timber (Litter and Understory)
294350,Deadwood Fuels RX,RX,USFS,000
294351,Astro PB,RX,USFS,000
294352,PFTC - Florida,RX,Private,000
294353,GEORGE ,WF,State,000
294354,Transformer,WF,Private,000
294355,Tower,WF,Private,000
294361,HACIENDA AV / VERBENA DR,WF,Private,000
294363,LAC-020472,WF,Private,000
294365,N. ALGIERS,WF,Private,Southern Rough
294367,BEACON WY  DHSP,WF,Private,000
294373,LITTLE SUR RIVER MID_COAST,WF,Private,000
294374,OCF CPT 104 Shanty Pond Rx 0117,RX,USFS,000
294375,FPR Unit 35 Rx 0118,RX,USFWS,000
294376,SFFA Rx Ops for BIP,RX,NPS,000
294377,OCF C-289 Paisley West Rx 0118,RX,USFS,000
294378,OSF Cpt 93 Macon Study 0115,RX,USFS,000
294379,BICY Nobles A Part 2 Rx FY23,RX,NPS,000
